Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166667,0.0374,0.0459,0.03085,0.0549,0.04955,0.05375,0.0498,0.03055,0.04185,0.05115,0.0398,0.02795,0.03185,0.0159,0.0422,0.02965,0.04015,0.0186,0.0136,0.038,0.0491,0.0337
0.333334,0.055,0.06705,0.05165,0.08625,0.0729,0.0808,0.07785,0.0496,0.0644,0.07105,0.06175,0.04385,0.05095,0.0296,0.05935,0.04615,0.0548,0.03485,0.01365,0.0521,0.05895,0.04875
0.500278,0.0695,0.0867,0.06725,0.10565,0.08345,0.09865,0.0951,0.06585,0.0805,0.09235,0.0817,0.0524,0.06395,0.0353,0.0723,0.05205,0.0615,0.03315,0.01575,0.0683,0.06965,0.05505
0.667223,0.08065,0.10055,0.07385,0.1294,0.09685,0.11915,0.1136,0.07565,0.0885,0.0991,0.0901,0.05415,0.0714,0.03985,0.0775,0.06025,0.0687,0.04835,0.0159,0.0748,0.07465,0.0641
0.833889,0.0942,0.11265,0.08605,0.1375,0.1101,0.1351,0.13395,0.08965,0.0986,0.10385,0.1007,0.06255,0.08125,0.0451,0.08775,0.06355,0.07655,0.0531,0.0203,0.08255,0.07815,0.0685
1.000834,0.10695,0.12815,0.09375,0.14985,0.12555,0.133,0.1436,0.08865,0.11365,0.1163,0.11795,0.06525,0.0883,0.04965,0.094,0.07305,0.0764,0.0506,0.02035,0.0951,0.0891,0.0801
1.167778,0.11285,0.1333,0.10065,0.15825,0.1329,0.1414,0.1556,0.0929,0.1149,0.10865,0.1171,0.0702,0.09165,0.05305,0.09705,0.0795,0.07995,0.05835,0.02135,0.0943,0.0862,0.0851
1.334445,0.116,0.1342,0.11045,0.16725,0.14375,0.1508,0.1685,0.1026,0.1152,0.10745,0.1225,0.0763,0.09445,0.05725,0.10165,0.0822,0.0878,0.06575,0.02815,0.1005,0.08935,0.08965
1.501111,0.1266,0.14075,0.11485,0.17085,0.1483,0.14405,0.1684,0.10615,0.12115,0.11565,0.1348,0.07905,0.09945,0.05905,0.10795,0.0843,0.087,0.05865,0.0272,0.10785,0.0948,0.0954
1.668056,0.128,0.13655,0.1227,0.1783,0.15545,0.15435,0.17865,0.1178,0.12005,0.1156,0.14075,0.08365,0.10135,0.06235,0.11015,0.0851,0.0945,0.0689,0.03185,0.1111,0.09465,0.0969
1.835,0.12875,0.13515,0.12505,0.1832,0.1585,0.15165,0.18425,0.1155,0.124,0.1249,0.15535,0.0856,0.1052,0.06305,0.11195,0.0894,0.09355,0.06695,0.0316,0.11555,0.10025,0.1005
2.001945,0.1279,0.1322,0.13265,0.18125,0.15945,0.14715,0.18435,0.1187,0.1206,0.1224,0.1557,0.09095,0.1082,0.0689,0.11795,0.09015,0.09485,0.0639,0.0333,0.1195,0.10255,0.10455
2.168611,0.1269,0.13,0.13445,0.18295,0.1606,0.15455,0.19415,0.12345,0.1155,0.1151,0.1536,0.0914,0.1088,0.06905,0.11845,0.09205,0.10255,0.0756,0.03505,0.11755,0.1023,0.1088
2.335278,0.1271,0.12485,0.13995,0.18375,0.1635,0.1523,0.19155,0.1287,0.1169,0.12255,0.162,0.0955,0.11155,0.0732,0.1232,0.0959,0.1068,0.0754,0.03775,0.122,0.1038,0.1091
2.501945,0.123,0.12815,0.13635,0.1899,0.15525,0.15495,0.1995,0.1291,0.11025,0.1177,0.15725,0.0973,0.11835,0.07765,0.12795,0.10155,0.1067,0.0803,0.0389,0.1249,0.10825,0.1134
2.668611,0.1172,0.12355,0.13805,0.185,0.15335,0.1509,0.20035,0.1241,0.10795,0.12165,0.16605,0.0981,0.11255,0.0751,0.1272,0.0972,0.10335,0.07265,0.03865,0.12745,0.1106,0.1121
2.835556,0.11375,0.1204,0.1408,0.1844,0.1482,0.1499,0.19375,0.13015,0.11315,0.1279,0.176,0.09745,0.1142,0.07505,0.13055,0.1006,0.1091,0.0766,0.04085,0.1292,0.11205,0.11595
3.0025,0.11565,0.1242,0.1442,0.18685,0.14505,0.14355,0.18855,0.12585,0.11435,0.1282,0.17845,0.1026,0.1164,0.0797,0.13255,0.10375,0.11435,0.0832,0.04465,0.1308,0.11335,0.11815
3.169167,0.1131,0.11945,0.14055,0.18325,0.14215,0.1573,0.20145,0.12505,0.11035,0.12325,0.16795,0.10245,0.113,0.07935,0.134,0.1035,0.106,0.07805,0.04255,0.1322,0.11655,0.1172
3.335834,0.11645,0.1176,0.13925,0.1809,0.13475,0.1544,0.1967,0.11895,0.1134,0.1213,0.17225,0.1048,0.12,0.0825,0.13985,0.10885,0.11135,0.0785,0.04325,0.1336,0.11975,0.1203
3.5025,0.11215,0.1154,0.143,0.17495,0.13185,0.14435,0.1854,0.12185,0.12165,0.118,0.17745,0.10655,0.11795,0.08075,0.1359,0.11005,0.11755,0.08795,0.04485,0.1321,0.1166,0.12395
3.669445,0.1087,0.1152,0.14155,0.1717,0.1256,0.15575,0.1926,0.1159,0.1202,0.1122,0.1749,0.10545,0.11595,0.0799,0.1386,0.1079,0.11575,0.08025,0.04385,0.13555,0.1194,0.1249
3.836111,0.11035,0.1067,0.1349,0.17565,0.1213,0.1509,0.18405,0.1148,0.126,0.11085,0.17045,0.1077,0.12775,0.0878,0.14115,0.1095,0.12075,0.09095,0.04775,0.13465,0.1196,0.12425
4.003056,0.10805,0.10855,0.13565,0.1758,0.11925,0.1552,0.1894,0.09985,0.1239,0.10805,0.16525,0.1063,0.11965,0.08245,0.13885,0.11455,0.1177,0.0851,0.04685,0.1357,0.1212,0.1259
4.169723,0.10855,0.10505,0.1313,0.1808,0.1126,0.15955,0.1804,0.09965,0.13235,0.1088,0.1635,0.10675,0.1286,0.08805,0.1422,0.11575,0.1219,0.0916,0.04695,0.13455,0.12105,0.1277
4.336389,0.1138,0.10565,0.12535,0.1817,0.1073,0.17405,0.19275,0.1048,0.1352,0.1131,0.1583,0.11065,0.12195,0.0854,0.14525,0.11315,0.11865,0.08135,0.04635,0.13885,0.1275,0.12635
4.503056,0.1168,0.1092,0.1251,0.1805,0.104,0.17685,0.1832,0.0899,0.13975,0.1193,0.1527,0.11295,0.12255,0.0887,0.141,0.1143,0.12115,0.08765,0.0478,0.13765,0.1232,0.1284
4.669723,0.12015,0.10745,0.12195,0.18765,0.10325,0.18755,0.17425,0.09995,0.14385,0.1247,0.1456,0.11155,0.11975,0.09,0.1462,0.1156,0.1185,0.08805,0.04495,0.1366,0.12455,0.12845
4.836389,0.11755,0.107,0.1261,0.18655,0.1055,0.2054,0.1797,0.0971,0.14845,0.13865,0.15385,0.11395,0.12515,0.09605,0.1475,0.11685,0.1249,0.09385,0.0481,0.136,0.12295,0.12685
5.003334,0.12135,0.10905,0.12795,0.18995,0.1061,0.21915,0.18115,0.10405,0.1545,0.1571,0.1561,0.11455,0.12145,0.09355,0.14405,0.1141,0.1235,0.09295,0.04685,0.1372,0.1255,0.12805
5.17,0.1225,0.11285,0.1375,0.1881,0.11375,0.2301,0.18285,0.1099,0.15665,0.1767,0.1641,0.11155,0.12695,0.09705,0.1449,0.11995,0.12515,0.0949,0.0487,0.138,0.12745,0.1276
5.336667,0.12765,0.12195,0.1395,0.19115,0.11515,0.2411,0.1838,0.1178,0.16395,0.19835,0.1702,0.1126,0.1237,0.0949,0.1444,0.11775,0.1236,0.0961,0.0527,0.13775,0.1277,0.1302
5.503611,0.13425,0.12775,0.14245,0.19425,0.121,0.25345,0.18955,0.13125,0.16505,0.21855,0.18315,0.1108,0.11845,0.09105,0.1455,0.11735,0.12655,0.0955,0.0546,0.13985,0.12885,0.13305
5.670278,0.13805,0.1354,0.1526,0.1939,0.12975,0.26915,0.191,0.15135,0.16965,0.2394,0.19685,0.1082,0.12065,0.0951,0.14465,0.11855,0.12785,0.08915,0.05905,0.1411,0.1358,0.1296
