sample_number,maxcellindex,Time_max_biofilm
192,0.34845,7.173333
84,0.32295,5.671944
189,0.3216,6.839722
8,0.3135,9.009167
146,0.3111,6.506111
104,0.30065,8.8425
164,0.261025,11.344167
220,0.25105,6.506111
108,0.2381,5.838611
101,0.2352,6.672778
169,0.2338,8.341667
60,0.2274,6.839722
213,0.22675,6.172222
65,0.22335,5.671944
232,0.2185,9.175833
211,0.216366667,7.173333
64,0.1921,4.3375
244,0.1877,8.174722
109,0.16955,4.838055
130,0.16825,6.839722
237,0.16635,6.672778
140,0.16035,5.338333
143,0.16025,7.673889
221,0.134,6.172222
70,0.13125,4.838055
236,0.12665,2.169167
159,0.11505,5.004722
83,0.11385,5.171389
208,0.11,9.175833
196,0.10965,6.172222
116,0.1008,4.504444
230,0.0983,9.175833
69,0.0959,5.338333
223,0.09385,9.175833
161,0.0707,3.503611
53,0.0537,3.336667
