Time_Hour,169,220,236,101,146,189,169F,220F,236F,101F,146F,189F
0,0,0,0,0,0,0,0,0,0,0,0,0
0.166944,0.02595,0.03755,0.03375,0.0429,0.0674,0.0245,0.0364,0.0306,0.03955,0.0387,0.04025,0.0169
0.333611,0.0455,0.0638,0.0635,0.06375,0.1108,0.046,0.0496,0.05265,0.0502,0.05315,0.08465,0.0299
0.500278,0.06415,0.0763,0.0763,0.0793,0.126,0.05455,0.06825,0.0632,0.0752,0.08375,0.0994,0.0436
0.666944,0.0775,0.0995,0.1019,0.09415,0.15275,0.0609,0.0853,0.07555,0.08105,0.08975,0.12125,0.05185
0.833611,0.0898,0.11345,0.11275,0.1076,0.16895,0.0717,0.09385,0.0905,0.09075,0.105,0.135,0.0599
1.000556,0.0991,0.11245,0.1099,0.11705,0.1736,0.0771,0.09695,0.09215,0.1015,0.11895,0.14445,0.06935
1.167222,0.10305,0.12105,0.1177,0.12025,0.18685,0.08325,0.103,0.10255,0.1095,0.128,0.15725,0.08045
1.334167,0.1127,0.13585,0.13345,0.1158,0.1956,0.09255,0.1072,0.11715,0.1107,0.1258,0.1677,0.08265
1.501111,0.11615,0.133,0.12985,0.12825,0.20195,0.09665,0.11005,0.12045,0.1196,0.1297,0.1748,0.08705
1.668056,0.1234,0.14435,0.13185,0.12565,0.21305,0.0974,0.12,0.1249,0.1241,0.12655,0.18675,0.08995
1.835,0.13085,0.14705,0.13735,0.12795,0.21675,0.10435,0.12045,0.1331,0.1228,0.1284,0.1926,0.09365
2.001944,0.1349,0.1601,0.14295,0.11655,0.22295,0.10915,0.12575,0.14395,0.11345,0.11755,0.1934,0.09215
2.168889,0.13785,0.16375,0.13405,0.12245,0.22635,0.10865,0.1311,0.1443,0.11555,0.12805,0.20405,0.1002
2.335556,0.14315,0.17095,0.1291,0.11705,0.23075,0.11075,0.1356,0.1492,0.10875,0.1188,0.20485,0.09635
2.502222,0.15185,0.18415,0.13555,0.1142,0.238,0.1164,0.138,0.16305,0.0981,0.1119,0.2039,0.09595
2.668889,0.14895,0.1776,0.12615,0.11645,0.23835,0.1179,0.1376,0.15925,0.0975,0.11995,0.21575,0.10145
2.835556,0.15315,0.1836,0.12335,0.1161,0.241,0.11935,0.1401,0.1624,0.09695,0.11455,0.21585,0.0999
3.0025,0.1535,0.1849,0.12055,0.1101,0.2415,0.12055,0.1371,0.16005,0.0863,0.1129,0.21735,0.1022
3.169167,0.15325,0.1801,0.1148,0.1118,0.2471,0.12295,0.14665,0.16015,0.0956,0.10845,0.21755,0.0956
3.335833,0.1557,0.17565,0.11255,0.1071,0.246,0.12165,0.1446,0.1538,0.0951,0.10705,0.2197,0.0999
3.5025,0.1633,0.1813,0.1215,0.1067,0.2521,0.121,0.1402,0.14245,0.08895,0.09985,0.2163,0.0929
3.669444,0.1612,0.1793,0.12165,0.10165,0.2474,0.1208,0.13535,0.13995,0.0868,0.09365,0.2132,0.09705
3.836389,0.1613,0.17065,0.11505,0.10285,0.24595,0.12,0.14265,0.14275,0.0934,0.0978,0.21925,0.10455
4.003056,0.16225,0.17595,0.1204,0.09695,0.24705,0.11705,0.1397,0.1422,0.0931,0.0982,0.2211,0.1127
4.17,0.1633,0.16905,0.12355,0.10235,0.2452,0.1185,0.1518,0.1477,0.09945,0.09625,0.21555,0.1072
4.336944,0.1645,0.17545,0.12095,0.0952,0.2359,0.11965,0.14325,0.15205,0.09705,0.0982,0.21465,0.1173
4.503889,0.1657,0.18665,0.13025,0.10105,0.24505,0.12705,0.1424,0.15985,0.09795,0.0958,0.2084,0.1171
4.670833,0.1687,0.19025,0.1317,0.1,0.24455,0.13185,0.1516,0.17025,0.10035,0.10215,0.211,0.1239
4.837778,0.1681,0.2043,0.1307,0.1004,0.2485,0.1417,0.14925,0.18,0.1014,0.1037,0.2101,0.12795
5.004444,0.17065,0.22355,0.13575,0.1117,0.25715,0.157,0.1461,0.19085,0.10235,0.10565,0.20735,0.13055
5.171111,0.165,0.23145,0.13215,0.1172,0.2608,0.1693,0.14955,0.20095,0.10035,0.118,0.21525,0.1424
5.337778,0.17275,0.26075,0.14725,0.12545,0.26905,0.1857,0.16125,0.22025,0.10575,0.12105,0.21835,0.1467
5.504444,0.1694,0.27335,0.1462,0.13,0.2774,0.20585,0.1562,0.23375,0.10725,0.1266,0.22425,0.1659
5.671111,0.16905,0.2837,0.1436,0.1382,0.28705,0.2268,0.1542,0.24385,0.1075,0.1352,0.2311,0.183
5.838056,0.1691,0.293,0.1445,0.14655,0.296,0.2451,0.1538,0.2527,0.1059,0.142,0.23795,0.20545
6.004722,0.17105,0.30585,0.151,0.1573,0.30815,0.26575,0.1622,0.2657,0.1071,0.1523,0.246,0.21945
6.171389,0.1687,0.29965,0.14095,0.1633,0.3132,0.278,0.15725,0.2627,0.10535,0.1568,0.25655,0.2416
6.338056,0.1736,0.30305,0.14515,0.1748,0.32525,0.29135,0.1638,0.26615,0.1036,0.1673,0.27085,0.25085
6.504722,0.17055,0.29935,0.13685,0.18235,0.32965,0.2957,0.1624,0.25355,0.0915,0.1768,0.28565,0.2653
6.671389,0.1792,0.2959,0.13785,0.17995,0.33375,0.305,0.16805,0.2548,0.0947,0.17425,0.2954,0.27565
6.838056,0.1861,0.29385,0.1422,0.1904,0.34215,0.3086,0.17845,0.25545,0.0869,0.18505,0.3157,0.279
7.023889,0.1628,0.27925,0.13995,0.19075,0.322,0.3209,0.08575,0.20645,0.08315,0.07785,0.20465,0.2814
7.190833,0.1987,0.282,0.13645,0.2034,0.35505,0.3259,0.0982,0.1909,0.0463,0.0917,0.2096,0.2122
7.3575,0.21235,0.283,0.1362,0.19425,0.353,0.3206,0.1131,0.1983,0.0462,0.0947,0.21235,0.2023
7.524167,0.22375,0.2822,0.13095,0.19785,0.3557,0.31675,0.10985,0.19095,0.03815,0.1122,0.2182,0.20575
7.690833,0.2314,0.27835,0.1285,0.19595,0.3545,0.3151,0.11225,0.19605,0.042,0.1071,0.21605,0.20195
7.8575,0.2393,0.284,0.13745,0.2,0.35805,0.3129,0.1103,0.1985,0.0334,0.1157,0.22135,0.20515
8.024444,0.24825,0.28335,0.1387,0.197,0.3559,0.31185,0.11285,0.20115,0.03565,0.1215,0.22275,0.20365
8.191389,0.25745,0.2775,0.13575,0.19225,0.3485,0.3139,0.11535,0.20205,0.0469,0.11195,0.2157,0.19835
8.358333,0.25905,0.2819,0.1401,0.1922,0.34645,0.31315,0.1172,0.2057,0.0449,0.1183,0.216,0.19295
8.525278,0.2624,0.27355,0.12815,0.1859,0.33925,0.31265,0.10995,0.1966,0.0453,0.11685,0.2113,0.19375
8.692222,0.26205,0.2753,0.12695,0.1859,0.33855,0.31105,0.10705,0.19535,0.042,0.11445,0.2097,0.19175
8.859167,0.26625,0.27485,0.1323,0.18275,0.33515,0.31005,0.11225,0.19905,0.0442,0.1174,0.20805,0.18775
9.026111,0.26155,0.27685,0.1244,0.1867,0.33875,0.3063,0.1056,0.1892,0.0362,0.1225,0.21285,0.19075
9.192778,0.2656,0.27905,0.13535,0.18905,0.3297,0.3141,0.11035,0.20035,0.03975,0.1198,0.2094,0.18385
9.359722,0.2637,0.2749,0.123,0.1847,0.3334,0.31145,0.1006,0.19005,0.03305,0.1174,0.2027,0.1808
9.526667,0.26195,0.27995,0.1299,0.19215,0.33395,0.30635,0.1012,0.1944,0.02345,0.1263,0.20505,0.1891
9.693611,0.25885,0.28015,0.12745,0.1903,0.3331,0.3031,0.09785,0.1915,0.02125,0.1245,0.20515,0.1879
9.860556,0.25865,0.2768,0.1245,0.1899,0.33085,0.3026,0.0984,0.18405,0.0245,0.12395,0.2016,0.1861
10.0275,0.25875,0.27955,0.11915,0.1899,0.32935,0.3025,0.09505,0.1797,0.02225,0.123,0.1989,0.1839
10.194167,0.2651,0.28,0.12535,0.18075,0.33055,0.3064,0.09905,0.19035,0.0326,0.115,0.1925,0.17515
10.360833,0.25585,0.28105,0.12685,0.18695,0.32195,0.30185,0.0959,0.18905,0.0223,0.12775,0.19915,0.1827
10.5275,0.25485,0.2808,0.12385,0.1889,0.32245,0.3031,0.09415,0.18845,0.0226,0.12315,0.19465,0.1807
10.694167,0.2572,0.28225,0.12115,0.1845,0.3255,0.29685,0.0902,0.1812,0.0155,0.12115,0.19495,0.17965
10.860833,0.25545,0.28235,0.11635,0.1825,0.32645,0.30125,0.08995,0.1768,0.02145,0.1164,0.1913,0.1758
11.0275,0.254,0.28295,0.1209,0.1883,0.31655,0.2983,0.08725,0.18125,0.0135,0.12755,0.19385,0.179
11.194167,0.2549,0.2858,0.11705,0.1841,0.3226,0.29735,0.08905,0.1755,0.02055,0.11735,0.18775,0.1744
11.360833,0.24965,0.28025,0.1195,0.18595,0.3127,0.2929,0.0877,0.1822,0.0134,0.12475,0.19115,0.17825
11.527778,0.25635,0.28535,0.1223,0.17925,0.3231,0.2958,0.09045,0.18295,0.02515,0.11325,0.18415,0.1703
11.694444,0.24685,0.28195,0.1184,0.1863,0.31235,0.29415,0.0848,0.17915,0.01185,0.12425,0.18895,0.17705
11.861111,0.25235,0.2867,0.1188,0.1813,0.3197,0.29325,0.09105,0.17765,0.02405,0.1141,0.1836,0.1694
12.027778,0.25155,0.28825,0.1137,0.18045,0.3186,0.29185,0.08295,0.16845,0.0131,0.11355,0.1828,0.16905
12.194722,0.24805,0.28665,0.1131,0.1798,0.3172,0.2876,0.08345,0.16825,0.0116,0.1175,0.1825,0.17205
12.361667,0.2476,0.28945,0.1134,0.17925,0.3172,0.28705,0.0868,0.17215,0.0166,0.11385,0.18075,0.1699
12.528333,0.2427,0.28145,0.11705,0.18365,0.30975,0.2898,0.0852,0.17795,0.011,0.11975,0.18715,0.1695
12.695278,0.24565,0.27805,0.1184,0.18265,0.3098,0.2885,0.0937,0.17985,0.02025,0.1173,0.1863,0.16975
12.862222,0.2445,0.28535,0.1143,0.17975,0.32015,0.28955,0.09015,0.17555,0.0185,0.10835,0.179,0.16395
13.029167,0.24265,0.28335,0.1157,0.1887,0.31,0.28645,0.0856,0.16955,0.0053,0.1216,0.1834,0.1739
13.195833,0.2439,0.2872,0.1171,0.17955,0.3181,0.28705,0.0909,0.17445,0.018,0.10755,0.17765,0.1644
13.3625,0.2422,0.28695,0.1137,0.1799,0.3145,0.28065,0.0886,0.16435,0.01015,0.11405,0.1787,0.1666
13.529167,0.23795,0.27395,0.1169,0.1869,0.3057,0.2868,0.09105,0.1753,0.0138,0.11905,0.18225,0.1698
13.695833,0.2393,0.2838,0.1127,0.1835,0.31245,0.2871,0.0928,0.1727,0.01655,0.11385,0.18005,0.16625
13.862778,0.2393,0.28345,0.1114,0.18315,0.3147,0.2834,0.08705,0.1621,0.00575,0.1091,0.17635,0.1648
14.029722,0.2394,0.2826,0.11295,0.1815,0.31295,0.27715,0.08705,0.1621,0.0032,0.11175,0.1763,0.1659
14.196389,0.2362,0.27625,0.1128,0.1829,0.3085,0.28105,0.09645,0.17375,0.0163,0.1142,0.1812,0.1667
14.363333,0.23775,0.28385,0.1094,0.17985,0.31565,0.28025,0.0879,0.16325,0.00705,0.10615,0.17545,0.16125
14.53,0.2363,0.2808,0.1143,0.1786,0.31395,0.2795,0.0951,0.1694,0.01075,0.10885,0.17635,0.1619
14.696667,0.23135,0.27115,0.1096,0.18425,0.3048,0.27515,0.0884,0.164,0.00015,0.1122,0.1762,0.1658
14.863333,0.23375,0.27185,0.1109,0.1854,0.3031,0.2804,0.0967,0.16945,0.01,0.11485,0.1773,0.16405
15.030278,0.23315,0.27735,0.11055,0.18455,0.3102,0.278,0.0894,0.15695,-0.00285,0.10945,0.1756,0.16445
15.197222,0.23115,0.26565,0.11115,0.1848,0.30125,0.27625,0.09245,0.16605,0.00365,0.11465,0.1788,0.16605
15.364444,0.23,0.26525,0.1098,0.18305,0.29815,0.2752,0.09765,0.1684,0.00815,0.1133,0.1749,0.16345
15.531389,0.23045,0.2791,0.10945,0.1817,0.31255,0.27765,0.0934,0.15905,0.00415,0.1056,0.1727,0.15975
15.698333,0.23225,0.275,0.11045,0.1799,0.31055,0.2745,0.091,0.1558,-0.00285,0.10945,0.17345,0.16135
15.865,0.2256,0.2665,0.1101,0.1859,0.30225,0.27235,0.09085,0.1596,-0.0064,0.11375,0.1776,0.1674
16.031944,0.2273,0.2759,0.1085,0.1787,0.30925,0.27525,0.098,0.164,0.00595,0.1044,0.1729,0.159
16.198611,0.22365,0.262,0.10915,0.18395,0.29865,0.2721,0.0943,0.162,-0.00165,0.11055,0.17665,0.16315
16.365278,0.22425,0.2679,0.11065,0.1842,0.3024,0.2702,0.0921,0.1587,-0.00735,0.10955,0.1747,0.1657
16.531944,0.23005,0.2744,0.10925,0.17935,0.3091,0.273,0.0926,0.15475,-0.006,0.1062,0.17125,0.1612
16.698611,0.2284,0.27445,0.10925,0.1774,0.30605,0.27245,0.0951,0.1553,-0.0024,0.10755,0.174,0.15875
16.865278,0.22125,0.26545,0.10865,0.1839,0.29515,0.27315,0.0923,0.1581,-0.00675,0.1129,0.1742,0.1638
