Time_Hour,169,220,236,101,146,189,84,192,8,53,116,159,69,223,169F,220F,236F,101F,146F,189F,84F,192F,8F,53F,116F,159F,69F,223F
0.166944,0.02225,0.0364,0.03405,0.02865,0.05355,0.0319,0.05675,0.04235,0.03485,0.03835,0.0548,0.0611,0.05025,0.04975,0.01795,0.0119,0.0134,0.0268,0.04585,0.0122,0.0446,0.02455,0.02235,0.06765,0.0549,0.0346,0.0501,0.0345
0.333889,0.0317,0.05615,0.0448,0.0406,0.0854,0.04625,0.08245,0.0688,0.0545,0.05845,0.08705,0.0869,0.06975,0.0664,0.0222,0.011,0.00565,0.0451,0.07105,0.0211,0.06575,0.03365,0.0258,0.0923,0.0793,0.05055,0.07685,0.05175
0.500833,0.0443,0.06985,0.05475,0.05265,0.1111,0.06,0.10115,0.0879,0.07015,0.071,0.11105,0.1041,0.09115,0.0858,0.0328,0.017,0.01085,0.05095,0.0874,0.0302,0.08085,0.0452,0.02885,0.1089,0.09745,0.0606,0.0892,0.06555
0.6675,0.057,0.08165,0.0691,0.0699,0.1334,0.0709,0.12405,0.09945,0.073,0.0793,0.1295,0.116,0.10395,0.09525,0.0404,0.0287,0.0183,0.0508,0.0952,0.03315,0.08875,0.04775,0.0377,0.1153,0.1113,0.07745,0.09795,0.06265
0.834444,0.07065,0.09565,0.0798,0.08145,0.15725,0.0787,0.13785,0.1126,0.08085,0.08245,0.1347,0.12775,0.1192,0.10985,0.0463,0.0271,0.0158,0.0604,0.09705,0.03855,0.10165,0.05315,0.0405,0.13205,0.12125,0.0796,0.1084,0.07155
1.001111,0.06855,0.10225,0.08175,0.08275,0.1713,0.08935,0.14135,0.1228,0.0914,0.0915,0.14525,0.13285,0.1216,0.12165,0.04325,0.01965,0.01155,0.0646,0.1114,0.0473,0.1067,0.0606,0.0377,0.1394,0.12655,0.0829,0.1142,0.0768
1.167778,0.0777,0.10585,0.08565,0.07955,0.18065,0.10245,0.1509,0.1283,0.09775,0.10105,0.16095,0.14105,0.1316,0.13515,0.0471,0.0151,0.0157,0.07025,0.1273,0.0566,0.1154,0.06785,0.04125,0.149,0.1357,0.092,0.1279,0.08345
1.334722,0.0782,0.112,0.09475,0.07695,0.19345,0.11005,0.16995,0.14055,0.10295,0.117,0.17285,0.1586,0.13365,0.14285,0.05205,0.0236,0.02095,0.06895,0.1353,0.0581,0.127,0.07285,0.0544,0.154,0.1512,0.10665,0.137,0.09055
1.501667,0.0819,0.11565,0.09855,0.0787,0.2082,0.11675,0.1664,0.145,0.10695,0.11415,0.1727,0.1568,0.13195,0.14775,0.05615,0.025,0.02295,0.0678,0.13945,0.0624,0.1348,0.0701,0.0519,0.16235,0.1543,0.10565,0.1361,0.10005
1.668611,0.08905,0.12115,0.10165,0.0748,0.2148,0.1198,0.16705,0.14975,0.11465,0.1165,0.1863,0.1579,0.1316,0.15015,0.0609,0.02915,0.02575,0.0704,0.1519,0.06885,0.1378,0.0767,0.0496,0.17475,0.16025,0.11585,0.1361,0.10835
1.835278,0.0966,0.1276,0.1024,0.0804,0.2197,0.1201,0.17785,0.15095,0.11595,0.12345,0.19615,0.173,0.14635,0.15935,0.0639,0.0233,0.02105,0.0815,0.162,0.0794,0.1494,0.0851,0.0631,0.18025,0.17365,0.1308,0.14615,0.1152
